-1.6595,-1.35849,1.58102e-322;4.95031,-1.85818,1.58102e-322;-2.96171,0.515815,1.58102e-322;4.2439,-4.73466,1.58102e-322;-3.08013,-4.04658,1.58102e-322;3.26991,-0.0544229,1.58102e-322;0.428883,-4.76696,1.58102e-322;0.221391,-3.71475,1.58102e-322;-2.55833,1.80121,1.58102e-322;-2.01459,-3.31743,1.58102e-322;-2.96171,0.515815
-2.98648,0.551474,1.58102e-322;-4.15733,0.874562,1.58102e-322;-2.96171,0.515815,1.58102e-322;1.08631,-2.43383,1.58102e-322;0.0454604,-2.83672,1.58102e-322;1.17074,-2.34183,1.58102e-322;1.28933,-1.95416,1.58102e-322;0.64347,-3.01891,1.58102e-322;-0.833718,0.117955,1.58102e-322;-0.949678,-2.87802,1.58102e-322;1.28933,-1.95416
-2.88454,1.34553,1.58102e-322;-5.37574,0.0013645,1.58102e-322;-1.29403,-0.453155,1.58102e-322;-1.21506,-0.511279,1.58102e-322;2.79239,-1.64761,1.58102e-322;-0.398801,-4.02326,1.58102e-322;1.9381,0.166684,1.58102e-322;1.47429,-1.64923,1.58102e-322;0.694614,-1.37372,1.58102e-322;0.808831,-1.6725,1.58102e-322;0.694614,-1.37372
-2.5091,0.126034,1.58102e-322;-1.41448,-1.02614,1.58102e-322;1.76644,-2.0184,1.58102e-322;-1.6522,-0.0334765,1.58102e-322;1.20882,-1.09988,1.58102e-322;1.67583,-1.14851,1.58102e-322;1.44565,0.456201,1.58102e-322;1.88708,-0.540994,1.58102e-322;1.84698,-2.49844,1.58102e-322;2.08893,-0.643662,1.58102e-322;0.694614,-1.37372
-0.215143,-1.73481,1.58102e-322;-1.78958,0.623813,1.58102e-322;0.747403,-1.55749,1.58102e-322;-0.453416,-1.48267,1.58102e-322;-1.35287,-2.53165,1.58102e-322;1.37491,-1.66385,1.58102e-322;0.203466,-3.52711,1.58102e-322;0.0454382,-1.37207,1.58102e-322;0.321798,-1.19056,1.58102e-322;-1.13989,-2.45481,1.58102e-322;0.0454382,-1.37207
1.76041,-2.79558,1.58102e-322;0.763507,-1.39219,1.58102e-322;-0.381452,-1.11474,1.58102e-322;0.203582,-1.84498,1.58102e-322;0.566026,-1.77407,1.58102e-322;-0.35467,-1.72262,1.58102e-322;0.438912,-1.67225,1.58102e-322;-1.34315,-1.9987,1.58102e-322;-0.191127,-0.584571,1.58102e-322;-1.28475,-2.23625,1.58102e-322;0.0454382,-1.37207
-1.2964,-0.854312,1.58102e-322;0.713056,-0.946182,1.58102e-322;0.947718,-1.63865,1.58102e-322;1.061,-2.48818,1.58102e-322;1.35025,-2.79796,1.58102e-322;-1.37765,-1.82855,1.58102e-322;0.376729,-0.832639,1.58102e-322;-0.375203,-2.00545,1.58102e-322;-0.477402,-0.293365,1.58102e-322;1.89079,-1.17159,1.58102e-322;0.438912,-1.67225
-1.19039,-1.01178,1.58102e-322;0.689562,-0.954792,1.58102e-322;1.52325,-1.99127,1.58102e-322;0.551376,-1.90331,1.58102e-322;0.729471,-2.04066,1.58102e-322;-0.452192,-1.75211,1.58102e-322;0.392549,-1.04625,1.58102e-322;1.24507,-1.00376,1.58102e-322;0.654063,-1.76274,1.58102e-322;2.28335,-1.21645,1.58102e-322;0.438912,-1.67225
1.14661,-2.72201,1.58102e-322;0.552753,-2.1445,1.58102e-322;0.219081,-1.4399,1.58102e-322;-0.172646,-1.15952,1.58102e-322;0.0250997,-1.11076,1.58102e-322;0.623712,-1.62558,1.58102e-322;0.517188,-2.72917,1.58102e-322;-0.407888,-1.43545,1.58102e-322;1.43402,-2.83988,1.58102e-322;1.15547,-1.68185,1.58102e-322;0.438912,-1.67225
-0.30786,-1.12174,1.58102e-322;0.812483,-1.23771,1.58102e-322;-0.558359,-1.24179,1.58102e-322;-0.177995,-1.06794,1.58102e-322;-0.355253,-0.611543,1.58102e-322;1.22594,-1.58296,1.58102e-322;0.559451,-3.29981,1.58102e-322;-0.125306,-1.79458,1.58102e-322;1.47064,-2.91665,1.58102e-322;-0.387151,-2.01571,1.58102e-322;0.438912,-1.67225
